CITY,REP_PERIOD,income,expense,core_income,op_surplus
Mykolaiv,2022-02-28,809.8189462900001,566.08607232,671.0017222900001,243.73287397000013
Mykolaiv,2022-03-31,1156.7664789300002,858.5707283400001,948.8539919299999,298.1957505900001
Mykolaiv,2022-04-30,1508.4336211500001,1003.84790688,1231.14099215,504.58571427000015
Mykolaiv,2022-05-31,1999.61046876,1287.02074225,1635.96558776,712.58972651
Mykolaiv,2022-06-30,2609.3441240399998,1567.52721463,2105.90855704,1041.8169094099999
Mykolaiv,2022-07-31,3068.0372626599997,1800.1714125199999,2534.35065598,1267.8658501399998
Mykolaiv,2022-08-31,3570.27625776,2149.2199117,3006.26118695,1421.0563460600001
Mykolaiv,2022-09-30,4114.3615041,2494.9666582199998,3490.5826458599995,1619.3948458800005
Mykolaiv,2022-10-31,4599.58030839,2806.96883647,3915.94493439,1792.61147192
Mykolaiv,2022-11-30,5122.20653133,3114.2661755500003,4378.09194148,2007.9403557799997
Mykolaiv,2022-12-31,5740.699698230001,3663.4147794699998,4931.881703980001,2077.284918760001
Mykolaiv,2023-01-31,416.48520914,184.90255915,360.22684613999996,231.58264999
Mykolaiv,2023-02-28,903.45719732,456.72448035,789.09009032,446.73271696999996
Mykolaiv,2023-03-31,1385.67984398,777.3612093400001,1213.5610965399999,608.3186346399999
Mykolaiv,2023-04-30,1850.96932045,1036.30865846,1621.67518201,814.6606619899999
Mykolaiv,2023-05-31,2421.06958878,1377.0560358,2119.29569134,1044.0135529799998
Mykolaiv,2023-06-30,3130.7811357699998,1855.79441607,2682.6761428600003,1274.9867196999999
Mykolaiv,2023-07-31,3617.27378423,2105.8781896299997,3141.2507673200003,1511.3955946
Mykolaiv,2023-08-31,4122.65143452,2436.8693448,3607.01024861,1685.7820897200004
Mykolaiv,2023-09-30,4845.6924574899995,2895.15138096,4122.55409114,1950.5410765299994
Mykolaiv,2023-10-31,5496.87450492,3285.14935543,4614.2130231,2211.7251494899997
Mykolaiv,2023-11-30,5608.30582591,3757.40132759,4713.93708243,1850.9044983199997
Mykolaiv,2023-12-31,6123.6787935,4580.91589992,5051.2559055500005,1542.7628935800003
