REP_PERIOD,FUND_TYP,COD_BUDGET,COD_FINA,NAME_FIN,ZAT_AMT,FAKT_AMT,CITY
2021-01-31,T,22564000000,601210,Розміщення бюджетних коштів на депозитах,-28000000,-88000000,Khmelnytskyi
2021-01-31,T,22564000000,401201,Довгострокові зобов'язання,16535522.58,0,Khmelnytskyi
2021-01-31,S,16564000000,401000,Запозичення,13000000,0,Kremenchuk
2021-01-31,C,16564000000,602400,"Кошти, що передаються із загального фонду бюджету до бюджету розвитку (спеціального фонду)",-134999145,-3399670.15,Kremenchuk
2021-01-31,T,16564000000,602304,Інші розрахунки,0,4448790.35,Kremenchuk
2021-01-31,S,16564000000,402200,Зовнішні зобов'язання,-3267725,0,Kremenchuk
2021-01-31,S,16564000000,600000,Фінансування за активними операціями,134999145,1397302.45,Kremenchuk
2021-01-31,T,16564000000,602200,На кінець періоду,2597541,23138998.6,Kremenchuk
2021-01-31,S,16564000000,602300,Інші розрахунки,0,4448790.35,Kremenchuk
2021-01-31,T,16564000000,401000,Запозичення,13000000,0,Kremenchuk
2021-01-31,T,16564000000,402000,Погашення,-3267725,0,Kremenchuk
2021-01-31,C,16564000000,602000,Зміни обсягів бюджетних коштів,-134999145,-8227160.26,Kremenchuk
2021-01-31,T,16564000000,602100,На початок періоду,2597541,11860350.44,Kremenchuk
2021-01-31,S,16564000000,401200,Зовнішні запозичення,13000000,0,Kremenchuk
2021-01-31,T,16564000000,401200,Зовнішні запозичення,13000000,0,Kremenchuk
2021-01-31,S,16564000000,401202,Середньострокові зобов'язання,13000000,0,Kremenchuk
2021-01-31,T,16564000000,401202,Середньострокові зобов'язання,13000000,0,Kremenchuk
2021-01-31,T,16564000000,402200,Зовнішні зобов'язання,-3267725,0,Kremenchuk
2021-01-31,T,16564000000,602000,Зміни обсягів бюджетних коштів,0,-6829857.81,Kremenchuk
2021-01-31,S,16564000000,400000,Фінансування за борговими операціями,9732275,0,Kremenchuk
2021-01-31,S,16564000000,602100,На початок періоду,0,3706275.67,Kremenchuk
2021-01-31,S,16564000000,602000,Зміни обсягів бюджетних коштів,134999145,1397302.45,Kremenchuk
2021-01-31,C,16564000000,602100,На початок періоду,2597541,8154074.77,Kremenchuk
2021-01-31,S,16564000000,602304,Інші розрахунки,0,4448790.35,Kremenchuk
2021-01-31,S,16564000000,602400,"Кошти, що передаються із загального фонду бюджету до бюджету розвитку (спеціального фонду)",134999145,3399670.15,Kremenchuk
2021-01-31,T,16564000000,400000,Фінансування за борговими операціями,9732275,0,Kremenchuk
2021-01-31,S,16564000000,402000,Погашення,-3267725,0,Kremenchuk
2021-01-31,S,16564000000,402202,Середньострокові зобов'язання,-3267725,0,Kremenchuk
2021-01-31,T,16564000000,600000,Фінансування за активними операціями,0,-6829857.81,Kremenchuk
2021-01-31,C,16564000000,600000,Фінансування за активними операціями,-134999145,-8227160.26,Kremenchuk
2021-01-31,C,16564000000,602200,На кінець періоду,2597541,12981564.88,Kremenchuk
2021-01-31,S,16564000000,602200,На кінець періоду,0,10157433.72,Kremenchuk
2021-01-31,T,16564000000,602300,Інші розрахунки,0,4448790.35,Kremenchuk
2021-01-31,T,16564000000,402202,Середньострокові зобов'язання,-3267725,0,Kremenchuk
2021-01-31,S,04578000000,400000,Фінансування за борговими операціями,54793000,0,Kryvyi Rih
2021-01-31,S,04578000000,600000,Фінансування за активними операціями,592186529,-6126401.75,Kryvyi Rih
2021-01-31,T,04578000000,602200,На кінець періоду,83227020.76,248287658.68,Kryvyi Rih
2021-01-31,T,04578000000,401100,Внутрішні запозичення,54793000,0,Kryvyi Rih
2021-01-31,C,04578000000,600000,Фінансування за активними операціями,-592186529,-124257222.37,Kryvyi Rih
2021-01-31,S,04578000000,602300,Інші розрахунки,0,18015243.06,Kryvyi Rih
2021-01-31,T,04578000000,602300,Інші розрахунки,0,18015243.06,Kryvyi Rih
